trace,policy,capacity_experts_per_layer,tier2_experts_per_layer,accesses,hits,misses,hit_rate,miss_rate,compulsory_misses,capacity_misses,evictions,miss_bytes_per_token,ssd_bytes_per_token,h2d_bytes_per_token,evictions_per_token,cache_churn,useful_residency_ticks,wasted_residency_ticks,regret_vs_belady
v65-terminal-fetch-20260903T0202Z,lru,16,0,5676,2721,2955,0.479387,0.520613,2364,591,2267,2469150720.0,2469150720.0,0.0,141.688,0.920014,25285,59169,558
v65-terminal-fetch-20260903T0202Z,lfu,16,0,5676,1844,3832,0.324877,0.675123,2364,1468,3144,3201957888.0,3201957888.0,0.0,196.5,1.229035,23059,61395,1435
v65-terminal-fetch-20260903T0202Z,least_stale,16,0,5676,2641,3035,0.465292,0.534708,2364,671,2347,2535997440.0,2535997440.0,0.0,146.688,0.948203,26904,57550,638
v65-terminal-fetch-20260903T0202Z,arc,16,0,5676,2691,2985,0.474101,0.525899,2364,621,2297,2494218240.0,2494218240.0,0.0,143.562,0.930585,26414,58040,588
v65-terminal-fetch-20260903T0202Z,recency_freq,16,0,5676,2719,2957,0.479035,0.520965,2364,593,2269,2470821888.0,2470821888.0,0.0,141.812,0.920719,26683,57771,560
v65-terminal-fetch-20260903T0202Z,belady,16,0,5676,3279,2397,0.577696,0.422304,2364,33,1709,2002894848.0,2002894848.0,0.0,106.812,0.723397,48373,36081,0
v65-terminal-fetch-20260903T0202Z,keepvalue,16,0,5676,2721,2955,0.479387,0.520613,2364,591,2267,2469150720.0,2469150720.0,0.0,141.688,0.920014,25285,59169,558
v65-terminal-fetch-20260903T0202Z,lru,16,64,5676,2721,2955,0.479387,0.520613,2364,591,2267,2469150720.0,1985347584.0,483803136.0,141.688,0.920014,25285,59169,558
v65-terminal-fetch-20260903T0202Z,lfu,16,64,5676,1844,3832,0.324877,0.675123,2364,1468,3144,3201957888.0,1983676416.0,1218281472.0,196.5,1.229035,23059,61395,1435
v65-terminal-fetch-20260903T0202Z,least_stale,16,64,5676,2641,3035,0.465292,0.534708,2364,671,2347,2535997440.0,1982840832.0,553156608.0,146.688,0.948203,26904,57550,638
v65-terminal-fetch-20260903T0202Z,arc,16,64,5676,2691,2985,0.474101,0.525899,2364,621,2297,2494218240.0,1982840832.0,511377408.0,143.562,0.930585,26414,58040,588
v65-terminal-fetch-20260903T0202Z,recency_freq,16,64,5676,2719,2957,0.479035,0.520965,2364,593,2269,2470821888.0,1985347584.0,485474304.0,141.812,0.920719,26683,57771,560
v65-terminal-fetch-20260903T0202Z,belady,16,64,5676,3279,2397,0.577696,0.422304,2364,33,1709,2002894848.0,1978662912.0,24231936.0,106.812,0.723397,48373,36081,0
v65-terminal-fetch-20260903T0202Z,keepvalue,16,64,5676,2721,2955,0.479387,0.520613,2364,591,2267,2469150720.0,1985347584.0,483803136.0,141.688,0.920014,25285,59169,558
v65-terminal-fetch-20260903T0202Z,lru,16,128,5676,2721,2955,0.479387,0.520613,2364,591,2267,2469150720.0,1975320576.0,493830144.0,141.688,0.920014,25285,59169,558
v65-terminal-fetch-20260903T0202Z,lfu,16,128,5676,1844,3832,0.324877,0.675123,2364,1468,3144,3201957888.0,1975320576.0,1226637312.0,196.5,1.229035,23059,61395,1435
v65-terminal-fetch-20260903T0202Z,least_stale,16,128,5676,2641,3035,0.465292,0.534708,2364,671,2347,2535997440.0,1975320576.0,560676864.0,146.688,0.948203,26904,57550,638
v65-terminal-fetch-20260903T0202Z,arc,16,128,5676,2691,2985,0.474101,0.525899,2364,621,2297,2494218240.0,1975320576.0,518897664.0,143.562,0.930585,26414,58040,588
v65-terminal-fetch-20260903T0202Z,recency_freq,16,128,5676,2719,2957,0.479035,0.520965,2364,593,2269,2470821888.0,1975320576.0,495501312.0,141.812,0.920719,26683,57771,560
v65-terminal-fetch-20260903T0202Z,belady,16,128,5676,3279,2397,0.577696,0.422304,2364,33,1709,2002894848.0,1975320576.0,27574272.0,106.812,0.723397,48373,36081,0
v65-terminal-fetch-20260903T0202Z,keepvalue,16,128,5676,2721,2955,0.479387,0.520613,2364,591,2267,2469150720.0,1975320576.0,493830144.0,141.688,0.920014,25285,59169,558
v65-terminal-fetch-20260903T0202Z,lru,16,256,5676,2721,2955,0.479387,0.520613,2364,591,2267,2469150720.0,1975320576.0,493830144.0,141.688,0.920014,25285,59169,558
v65-terminal-fetch-20260903T0202Z,lfu,16,256,5676,1844,3832,0.324877,0.675123,2364,1468,3144,3201957888.0,1975320576.0,1226637312.0,196.5,1.229035,23059,61395,1435
v65-terminal-fetch-20260903T0202Z,least_stale,16,256,5676,2641,3035,0.465292,0.534708,2364,671,2347,2535997440.0,1975320576.0,560676864.0,146.688,0.948203,26904,57550,638
v65-terminal-fetch-20260903T0202Z,arc,16,256,5676,2691,2985,0.474101,0.525899,2364,621,2297,2494218240.0,1975320576.0,518897664.0,143.562,0.930585,26414,58040,588
v65-terminal-fetch-20260903T0202Z,recency_freq,16,256,5676,2719,2957,0.479035,0.520965,2364,593,2269,2470821888.0,1975320576.0,495501312.0,141.812,0.920719,26683,57771,560
v65-terminal-fetch-20260903T0202Z,belady,16,256,5676,3279,2397,0.577696,0.422304,2364,33,1709,2002894848.0,1975320576.0,27574272.0,106.812,0.723397,48373,36081,0
v65-terminal-fetch-20260903T0202Z,keepvalue,16,256,5676,2721,2955,0.479387,0.520613,2364,591,2267,2469150720.0,1975320576.0,493830144.0,141.688,0.920014,25285,59169,558
v65-terminal-fetch-20260903T0202Z,lru,24,0,5676,3082,2594,0.542988,0.457012,2364,230,1562,2167504896.0,2167504896.0,0.0,97.625,0.732206,36388,84087,230
v65-terminal-fetch-20260903T0202Z,lfu,24,0,5676,2504,3172,0.441156,0.558844,2364,808,2140,2650472448.0,2650472448.0,0.0,133.75,0.93587,33596,86879,808
v65-terminal-fetch-20260903T0202Z,least_stale,24,0,5676,3010,2666,0.530303,0.469697,2364,302,1634,2227666944.0,2227666944.0,0.0,102.125,0.757576,36033,84442,302
v65-terminal-fetch-20260903T0202Z,arc,24,0,5676,3030,2646,0.533827,0.466173,2364,282,1614,2210955264.0,2210955264.0,0.0,100.875,0.750529,36164,84311,282
v65-terminal-fetch-20260903T0202Z,recency_freq,24,0,5676,3056,2620,0.538407,0.461593,2364,256,1588,2189230080.0,2189230080.0,0.0,99.25,0.741367,36222,84253,256
v65-terminal-fetch-20260903T0202Z,belady,24,0,5676,3312,2364,0.58351,0.41649,2364,0,1332,1975320576.0,1975320576.0,0.0,83.25,0.651163,51089,69386,0
v65-terminal-fetch-20260903T0202Z,keepvalue,24,0,5676,3082,2594,0.542988,0.457012,2364,230,1562,2167504896.0,2167504896.0,0.0,97.625,0.732206,36388,84087,230
v65-terminal-fetch-20260903T0202Z,lru,24,64,5676,3082,2594,0.542988,0.457012,2364,230,1562,2167504896.0,1985347584.0,182157312.0,97.625,0.732206,36388,84087,230
v65-terminal-fetch-20260903T0202Z,lfu,24,64,5676,2504,3172,0.441156,0.558844,2364,808,2140,2650472448.0,1981169664.0,669302784.0,133.75,0.93587,33596,86879,808
v65-terminal-fetch-20260903T0202Z,least_stale,24,64,5676,3010,2666,0.530303,0.469697,2364,302,1634,2227666944.0,1982840832.0,244826112.0,102.125,0.757576,36033,84442,302
v65-terminal-fetch-20260903T0202Z,arc,24,64,5676,3030,2646,0.533827,0.466173,2364,282,1614,2210955264.0,1982840832.0,228114432.0,100.875,0.750529,36164,84311,282
v65-terminal-fetch-20260903T0202Z,recency_freq,24,64,5676,3056,2620,0.538407,0.461593,2364,256,1588,2189230080.0,1985347584.0,203882496.0,99.25,0.741367,36222,84253,256
v65-terminal-fetch-20260903T0202Z,belady,24,64,5676,3312,2364,0.58351,0.41649,2364,0,1332,1975320576.0,1975320576.0,0.0,83.25,0.651163,51089,69386,0
v65-terminal-fetch-20260903T0202Z,keepvalue,24,64,5676,3082,2594,0.542988,0.457012,2364,230,1562,2167504896.0,1985347584.0,182157312.0,97.625,0.732206,36388,84087,230
v65-terminal-fetch-20260903T0202Z,lru,24,128,5676,3082,2594,0.542988,0.457012,2364,230,1562,2167504896.0,1975320576.0,192184320.0,97.625,0.732206,36388,84087,230
v65-terminal-fetch-20260903T0202Z,lfu,24,128,5676,2504,3172,0.441156,0.558844,2364,808,2140,2650472448.0,1975320576.0,675151872.0,133.75,0.93587,33596,86879,808
v65-terminal-fetch-20260903T0202Z,least_stale,24,128,5676,3010,2666,0.530303,0.469697,2364,302,1634,2227666944.0,1975320576.0,252346368.0,102.125,0.757576,36033,84442,302
v65-terminal-fetch-20260903T0202Z,arc,24,128,5676,3030,2646,0.533827,0.466173,2364,282,1614,2210955264.0,1975320576.0,235634688.0,100.875,0.750529,36164,84311,282
v65-terminal-fetch-20260903T0202Z,recency_freq,24,128,5676,3056,2620,0.538407,0.461593,2364,256,1588,2189230080.0,1975320576.0,213909504.0,99.25,0.741367,36222,84253,256
v65-terminal-fetch-20260903T0202Z,belady,24,128,5676,3312,2364,0.58351,0.41649,2364,0,1332,1975320576.0,1975320576.0,0.0,83.25,0.651163,51089,69386,0
v65-terminal-fetch-20260903T0202Z,keepvalue,24,128,5676,3082,2594,0.542988,0.457012,2364,230,1562,2167504896.0,1975320576.0,192184320.0,97.625,0.732206,36388,84087,230
v65-terminal-fetch-20260903T0202Z,lru,24,256,5676,3082,2594,0.542988,0.457012,2364,230,1562,2167504896.0,1975320576.0,192184320.0,97.625,0.732206,36388,84087,230
v65-terminal-fetch-20260903T0202Z,lfu,24,256,5676,2504,3172,0.441156,0.558844,2364,808,2140,2650472448.0,1975320576.0,675151872.0,133.75,0.93587,33596,86879,808
v65-terminal-fetch-20260903T0202Z,least_stale,24,256,5676,3010,2666,0.530303,0.469697,2364,302,1634,2227666944.0,1975320576.0,252346368.0,102.125,0.757576,36033,84442,302
v65-terminal-fetch-20260903T0202Z,arc,24,256,5676,3030,2646,0.533827,0.466173,2364,282,1614,2210955264.0,1975320576.0,235634688.0,100.875,0.750529,36164,84311,282
v65-terminal-fetch-20260903T0202Z,recency_freq,24,256,5676,3056,2620,0.538407,0.461593,2364,256,1588,2189230080.0,1975320576.0,213909504.0,99.25,0.741367,36222,84253,256
v65-terminal-fetch-20260903T0202Z,belady,24,256,5676,3312,2364,0.58351,0.41649,2364,0,1332,1975320576.0,1975320576.0,0.0,83.25,0.651163,51089,69386,0
v65-terminal-fetch-20260903T0202Z,keepvalue,24,256,5676,3082,2594,0.542988,0.457012,2364,230,1562,2167504896.0,1975320576.0,192184320.0,97.625,0.732206,36388,84087,230
v65-terminal-fetch-20260903T0202Z,lru,32,0,5676,3186,2490,0.561311,0.438689,2364,126,1114,2080604160.0,2080604160.0,0.0,69.625,0.634954,41280,108958,126
v65-terminal-fetch-20260903T0202Z,lfu,32,0,5676,2935,2741,0.517089,0.482911,2364,377,1365,2290335744.0,2290335744.0,0.0,85.312,0.723397,41395,108843,377
v65-terminal-fetch-20260903T0202Z,least_stale,32,0,5676,3188,2488,0.561663,0.438337,2364,124,1112,2078932992.0,2078932992.0,0.0,69.5,0.634249,42133,108105,124
v65-terminal-fetch-20260903T0202Z,arc,32,0,5676,3188,2488,0.561663,0.438337,2364,124,1112,2078932992.0,2078932992.0,0.0,69.5,0.634249,42071,108167,124
v65-terminal-fetch-20260903T0202Z,recency_freq,32,0,5676,3193,2483,0.562544,0.437456,2364,119,1107,2074755072.0,2074755072.0,0.0,69.188,0.632488,41947,108291,119
v65-terminal-fetch-20260903T0202Z,belady,32,0,5676,3312,2364,0.58351,0.41649,2364,0,988,1975320576.0,1975320576.0,0.0,61.75,0.590557,51089,99149,0
v65-terminal-fetch-20260903T0202Z,keepvalue,32,0,5676,3186,2490,0.561311,0.438689,2364,126,1114,2080604160.0,2080604160.0,0.0,69.625,0.634954,41280,108958,126
v65-terminal-fetch-20260903T0202Z,lru,32,64,5676,3186,2490,0.561311,0.438689,2364,126,1114,2080604160.0,1985347584.0,95256576.0,69.625,0.634954,41280,108958,126
v65-terminal-fetch-20260903T0202Z,lfu,32,64,5676,2935,2741,0.517089,0.482911,2364,377,1365,2290335744.0,1981169664.0,309166080.0,85.312,0.723397,41395,108843,377
v65-terminal-fetch-20260903T0202Z,least_stale,32,64,5676,3188,2488,0.561663,0.438337,2364,124,1112,2078932992.0,1983676416.0,95256576.0,69.5,0.634249,42133,108105,124
v65-terminal-fetch-20260903T0202Z,arc,32,64,5676,3188,2488,0.561663,0.438337,2364,124,1112,2078932992.0,1982840832.0,96092160.0,69.5,0.634249,42071,108167,124
v65-terminal-fetch-20260903T0202Z,recency_freq,32,64,5676,3193,2483,0.562544,0.437456,2364,119,1107,2074755072.0,1984512000.0,90243072.0,69.188,0.632488,41947,108291,119
v65-terminal-fetch-20260903T0202Z,belady,32,64,5676,3312,2364,0.58351,0.41649,2364,0,988,1975320576.0,1975320576.0,0.0,61.75,0.590557,51089,99149,0
v65-terminal-fetch-20260903T0202Z,keepvalue,32,64,5676,3186,2490,0.561311,0.438689,2364,126,1114,2080604160.0,1985347584.0,95256576.0,69.625,0.634954,41280,108958,126
v65-terminal-fetch-20260903T0202Z,lru,32,128,5676,3186,2490,0.561311,0.438689,2364,126,1114,2080604160.0,1975320576.0,105283584.0,69.625,0.634954,41280,108958,126
v65-terminal-fetch-20260903T0202Z,lfu,32,128,5676,2935,2741,0.517089,0.482911,2364,377,1365,2290335744.0,1975320576.0,315015168.0,85.312,0.723397,41395,108843,377
v65-terminal-fetch-20260903T0202Z,least_stale,32,128,5676,3188,2488,0.561663,0.438337,2364,124,1112,2078932992.0,1975320576.0,103612416.0,69.5,0.634249,42133,108105,124
v65-terminal-fetch-20260903T0202Z,arc,32,128,5676,3188,2488,0.561663,0.438337,2364,124,1112,2078932992.0,1975320576.0,103612416.0,69.5,0.634249,42071,108167,124
v65-terminal-fetch-20260903T0202Z,recency_freq,32,128,5676,3193,2483,0.562544,0.437456,2364,119,1107,2074755072.0,1975320576.0,99434496.0,69.188,0.632488,41947,108291,119
v65-terminal-fetch-20260903T0202Z,belady,32,128,5676,3312,2364,0.58351,0.41649,2364,0,988,1975320576.0,1975320576.0,0.0,61.75,0.590557,51089,99149,0
v65-terminal-fetch-20260903T0202Z,keepvalue,32,128,5676,3186,2490,0.561311,0.438689,2364,126,1114,2080604160.0,1975320576.0,105283584.0,69.625,0.634954,41280,108958,126
v65-terminal-fetch-20260903T0202Z,lru,32,256,5676,3186,2490,0.561311,0.438689,2364,126,1114,2080604160.0,1975320576.0,105283584.0,69.625,0.634954,41280,108958,126
v65-terminal-fetch-20260903T0202Z,lfu,32,256,5676,2935,2741,0.517089,0.482911,2364,377,1365,2290335744.0,1975320576.0,315015168.0,85.312,0.723397,41395,108843,377
v65-terminal-fetch-20260903T0202Z,least_stale,32,256,5676,3188,2488,0.561663,0.438337,2364,124,1112,2078932992.0,1975320576.0,103612416.0,69.5,0.634249,42133,108105,124
v65-terminal-fetch-20260903T0202Z,arc,32,256,5676,3188,2488,0.561663,0.438337,2364,124,1112,2078932992.0,1975320576.0,103612416.0,69.5,0.634249,42071,108167,124
v65-terminal-fetch-20260903T0202Z,recency_freq,32,256,5676,3193,2483,0.562544,0.437456,2364,119,1107,2074755072.0,1975320576.0,99434496.0,69.188,0.632488,41947,108291,119
v65-terminal-fetch-20260903T0202Z,belady,32,256,5676,3312,2364,0.58351,0.41649,2364,0,988,1975320576.0,1975320576.0,0.0,61.75,0.590557,51089,99149,0
v65-terminal-fetch-20260903T0202Z,keepvalue,32,256,5676,3186,2490,0.561311,0.438689,2364,126,1114,2080604160.0,1975320576.0,105283584.0,69.625,0.634954,41280,108958,126
v65-terminal-fetch-20260903T0202Z,lru,48,0,5676,3278,2398,0.577519,0.422481,2364,34,385,2003730432.0,2003730432.0,0.0,24.062,0.49031,48300,136644,34
v65-terminal-fetch-20260903T0202Z,lfu,48,0,5676,3250,2426,0.572586,0.427414,2364,62,413,2027126784.0,2027126784.0,0.0,25.812,0.500176,48673,136271,62
v65-terminal-fetch-20260903T0202Z,least_stale,48,0,5676,3278,2398,0.577519,0.422481,2364,34,385,2003730432.0,2003730432.0,0.0,24.062,0.49031,48377,136567,34
v65-terminal-fetch-20260903T0202Z,arc,48,0,5676,3278,2398,0.577519,0.422481,2364,34,385,2003730432.0,2003730432.0,0.0,24.062,0.49031,48377,136567,34
v65-terminal-fetch-20260903T0202Z,recency_freq,48,0,5676,3278,2398,0.577519,0.422481,2364,34,385,2003730432.0,2003730432.0,0.0,24.062,0.49031,48377,136567,34
v65-terminal-fetch-20260903T0202Z,belady,48,0,5676,3312,2364,0.58351,0.41649,2364,0,351,1975320576.0,1975320576.0,0.0,21.938,0.47833,51089,133855,0
v65-terminal-fetch-20260903T0202Z,keepvalue,48,0,5676,3278,2398,0.577519,0.422481,2364,34,385,2003730432.0,2003730432.0,0.0,24.062,0.49031,48300,136644,34
v65-terminal-fetch-20260903T0202Z,lru,48,64,5676,3278,2398,0.577519,0.422481,2364,34,385,2003730432.0,1983676416.0,20054016.0,24.062,0.49031,48300,136644,34
v65-terminal-fetch-20260903T0202Z,lfu,48,64,5676,3250,2426,0.572586,0.427414,2364,62,413,2027126784.0,1980334080.0,46792704.0,25.812,0.500176,48673,136271,62
v65-terminal-fetch-20260903T0202Z,least_stale,48,64,5676,3278,2398,0.577519,0.422481,2364,34,385,2003730432.0,1982840832.0,20889600.0,24.062,0.49031,48377,136567,34
v65-terminal-fetch-20260903T0202Z,arc,48,64,5676,3278,2398,0.577519,0.422481,2364,34,385,2003730432.0,1982840832.0,20889600.0,24.062,0.49031,48377,136567,34
v65-terminal-fetch-20260903T0202Z,recency_freq,48,64,5676,3278,2398,0.577519,0.422481,2364,34,385,2003730432.0,1982840832.0,20889600.0,24.062,0.49031,48377,136567,34
v65-terminal-fetch-20260903T0202Z,belady,48,64,5676,3312,2364,0.58351,0.41649,2364,0,351,1975320576.0,1975320576.0,0.0,21.938,0.47833,51089,133855,0
v65-terminal-fetch-20260903T0202Z,keepvalue,48,64,5676,3278,2398,0.577519,0.422481,2364,34,385,2003730432.0,1983676416.0,20054016.0,24.062,0.49031,48300,136644,34
v65-terminal-fetch-20260903T0202Z,lru,48,128,5676,3278,2398,0.577519,0.422481,2364,34,385,2003730432.0,1975320576.0,28409856.0,24.062,0.49031,48300,136644,34
v65-terminal-fetch-20260903T0202Z,lfu,48,128,5676,3250,2426,0.572586,0.427414,2364,62,413,2027126784.0,1975320576.0,51806208.0,25.812,0.500176,48673,136271,62
v65-terminal-fetch-20260903T0202Z,least_stale,48,128,5676,3278,2398,0.577519,0.422481,2364,34,385,2003730432.0,1975320576.0,28409856.0,24.062,0.49031,48377,136567,34
v65-terminal-fetch-20260903T0202Z,arc,48,128,5676,3278,2398,0.577519,0.422481,2364,34,385,2003730432.0,1975320576.0,28409856.0,24.062,0.49031,48377,136567,34
v65-terminal-fetch-20260903T0202Z,recency_freq,48,128,5676,3278,2398,0.577519,0.422481,2364,34,385,2003730432.0,1975320576.0,28409856.0,24.062,0.49031,48377,136567,34
v65-terminal-fetch-20260903T0202Z,belady,48,128,5676,3312,2364,0.58351,0.41649,2364,0,351,1975320576.0,1975320576.0,0.0,21.938,0.47833,51089,133855,0
v65-terminal-fetch-20260903T0202Z,keepvalue,48,128,5676,3278,2398,0.577519,0.422481,2364,34,385,2003730432.0,1975320576.0,28409856.0,24.062,0.49031,48300,136644,34
v65-terminal-fetch-20260903T0202Z,lru,48,256,5676,3278,2398,0.577519,0.422481,2364,34,385,2003730432.0,1975320576.0,28409856.0,24.062,0.49031,48300,136644,34
v65-terminal-fetch-20260903T0202Z,lfu,48,256,5676,3250,2426,0.572586,0.427414,2364,62,413,2027126784.0,1975320576.0,51806208.0,25.812,0.500176,48673,136271,62
v65-terminal-fetch-20260903T0202Z,least_stale,48,256,5676,3278,2398,0.577519,0.422481,2364,34,385,2003730432.0,1975320576.0,28409856.0,24.062,0.49031,48377,136567,34
v65-terminal-fetch-20260903T0202Z,arc,48,256,5676,3278,2398,0.577519,0.422481,2364,34,385,2003730432.0,1975320576.0,28409856.0,24.062,0.49031,48377,136567,34
v65-terminal-fetch-20260903T0202Z,recency_freq,48,256,5676,3278,2398,0.577519,0.422481,2364,34,385,2003730432.0,1975320576.0,28409856.0,24.062,0.49031,48377,136567,34
v65-terminal-fetch-20260903T0202Z,belady,48,256,5676,3312,2364,0.58351,0.41649,2364,0,351,1975320576.0,1975320576.0,0.0,21.938,0.47833,51089,133855,0
v65-terminal-fetch-20260903T0202Z,keepvalue,48,256,5676,3278,2398,0.577519,0.422481,2364,34,385,2003730432.0,1975320576.0,28409856.0,24.062,0.49031,48300,136644,34
v65-terminal-fetch-20260903T0202Z,lru,64,0,5676,3301,2375,0.581572,0.418428,2364,11,114,1984512000.0,1984512000.0,0.0,7.125,0.438513,50067,141730,11
v65-terminal-fetch-20260903T0202Z,lfu,64,0,5676,3300,2376,0.581395,0.418605,2364,12,115,1985347584.0,1985347584.0,0.0,7.188,0.438865,50358,141439,12
v65-terminal-fetch-20260903T0202Z,least_stale,64,0,5676,3299,2377,0.581219,0.418781,2364,13,116,1986183168.0,1986183168.0,0.0,7.25,0.439218,49915,141882,13
v65-terminal-fetch-20260903T0202Z,arc,64,0,5676,3299,2377,0.581219,0.418781,2364,13,116,1986183168.0,1986183168.0,0.0,7.25,0.439218,49915,141882,13
v65-terminal-fetch-20260903T0202Z,recency_freq,64,0,5676,3299,2377,0.581219,0.418781,2364,13,116,1986183168.0,1986183168.0,0.0,7.25,0.439218,49915,141882,13
v65-terminal-fetch-20260903T0202Z,belady,64,0,5676,3312,2364,0.58351,0.41649,2364,0,103,1975320576.0,1975320576.0,0.0,6.438,0.434637,51089,140708,0
v65-terminal-fetch-20260903T0202Z,keepvalue,64,0,5676,3301,2375,0.581572,0.418428,2364,11,114,1984512000.0,1984512000.0,0.0,7.125,0.438513,50067,141730,11
v65-terminal-fetch-20260903T0202Z,lru,64,64,5676,3301,2375,0.581572,0.418428,2364,11,114,1984512000.0,1978662912.0,5849088.0,7.125,0.438513,50067,141730,11
v65-terminal-fetch-20260903T0202Z,lfu,64,64,5676,3300,2376,0.581395,0.418605,2364,12,115,1985347584.0,1976991744.0,8355840.0,7.188,0.438865,50358,141439,12
